program_id,school_name,city,state,degree_type,program_url,url_status,search_attempts,url_confidence,discovered_url,discovered_url_2,search_query_used,scrape_notes,estimated_year
361,DePaul University,,Illinois,MOT,,url_found,3,high,https://www.depaul.edu/tuition-and-aid/understand-cost-of-attendance,https://catalog.depaul.edu/student-handbooks/graduate/university-information/tuition-fees/,DePaul University Master of Occupational Therapy tuition cost of attendance,,
362,Elmhurst University,,Illinois,MOT,,url_found,3,high,https://www.elmhurst.edu/admission/financial-aid/tuition-fees/graduate-tuition/,https://research.com/best-colleges/elmhurst-university/tuition-fees,Elmhurst University Master of Occupational Therapy tuition cost of attendance,,
363,Governors State University,,Illinois,MOT,,url_found,3,high,https://research.com/best-colleges/governors-state-university/tuition-fees,https://www.govst.edu/About/Offices_and_Departments/Student_Accounts_and_Billing/Tuition_and_Fees_AY_2025-2026/,Governors State University MOT tuition fees cost,,
364,Lewis University,,Illinois,MOT,,url_found,3,medium,https://www.lc.edu/_assets/pdfs/ota-program-cost-of-attendance.pdf,https://www.lewisu.edu/academics/msoccuptherapy/pdf/Lewis%20MSOT%20Tuition%20and%20Fees%2024-25.pdf,Lewis University Master of Occupational Therapy tuition cost of attendance,,
358,"Midwestern University, Downers Grove",,Illinois,OTD,,url_found,3,high,https://www.midwestern.edu/admissions/tuition-fees,https://www.midwestern.edu/admissions/paying-college/cost-attendance/downers-grove-campus-budgets,"Midwestern University, Downers Grove Doctor of Occupational Therapy tuition cost of attendance",,
365,North Central College,,Illinois,MOT,,url_found,3,high,https://www.northcentralcollege.edu/graduate-tuition-and-fees,https://www.northcentral.edu/financial-aid/tuition-and-fees/options-for-graduate-students-2/,North Central College Master of Occupational Therapy tuition cost of attendance,,
359,Rush University,,Illinois,OTD,,url_found,3,high,https://www.rushu.rush.edu/student-life/student-affairs/office-student-financial-aid/cost-attendance-coa/cost-attendance-2024-2025,https://www.rushu.rush.edu/student-life/student-affairs/office-student-financial-aid/cost-attendance-coa/cost-attendance-2025-2026,Rush University Doctor of Occupational Therapy tuition cost of attendance,,2024
366,University of Illinois Chicago,,Illinois,MOT,,url_found,3,medium,https://registrar.uic.edu/financial-matters/graduate-tuition-and-fees/,https://ahs.uic.edu/academics/occupational-therapy/entry-level-occupational-therapy-doctorate/before-you-apply/entry-level-otd-tuition-table/,University of Illinois Chicago Master of Occupational Therapy tuition cost of attendance,,
367,Huntington University,,Indiana,OTD,,url_found,3,high,https://www.huntington.edu/business-office/student-financial-services/graduate-tuition-and-fees,https://www.huntington.edu/business-office/student-financial-services/online-degree-programs-tuition-and-fees,Huntington University Doctor of Occupational Therapy tuition cost of attendance,,
371,Indiana State University,,Indiana,MOT,,url_found,3,medium,https://research.com/advice/online-occupational-therapy-masters-degree-program-costs-tuition-fees,https://www.usi.edu/media/mlobqd5s/otd-occupational-therapy-program-cost-analysis-2025-2026.pdf,Indiana State University Master of Occupational Therapy tuition cost of attendance,,
368,Indiana University,,Indiana,OTD,,url_found,3,high,https://graduate.indiana.edu/apply/cost-aid/tuition-fees.html,https://www.usi.edu/media/mlobqd5s/otd-occupational-therapy-program-cost-analysis-2025-2026.pdf,Indiana University Doctor of Occupational Therapy program cost fees,,
372,"Indiana University, South Bend",,Indiana,MOT,,url_found,3,high,https://graduate.indiana.edu/apply/cost-aid/tuition-fees.html,https://bigfuture.collegeboard.org/colleges/indiana-university-south-bend/tuition-and-costs,"Indiana University, South Bend Master of Occupational Therapy tuition cost of attendance",,
369,Indiana Wesleyan University,,Indiana,OTD,,url_found,3,medium,https://www.usi.edu/media/mlobqd5s/otd-occupational-therapy-program-cost-analysis-2025-2026.pdf,https://www.indwes.edu/about/student-consumer-information/_files/IWU-Cost-of-Attendance-2021-2022.pdf,Indiana Wesleyan University Doctor of Occupational Therapy program cost fees,,2025
373,University of Indianapolis,,Indiana,MOT,,url_found,3,medium,https://research.com/advice/online-occupational-therapy-masters-degree-program-costs-tuition-fees,https://uindy.edu/health-sciences/ot/otd-tuition,University of Indianapolis Master of Occupational Therapy program cost fees,,
370,University of Indianapolis,,Indiana,OTD,,url_found,3,medium,https://www.uws.edu/2025-2026-tuition-and-cost-of-attendance-details-doctor-of-occupational-therapy/,https://uindy.edu/health-sciences/ot/otd-tuition,University of Indianapolis Doctor of Occupational Therapy tuition cost of attendance,,2025
374,University of Southern Indiana,,Indiana,MOT,,url_found,3,medium,https://www.usi.edu/media/mlobqd5s/otd-occupational-therapy-program-cost-analysis-2025-2026.pdf,https://www.usi.edu/media/yzdjsuzs/msot-occupational-therapy-program-cost-analysis-2025-2026.pdf,University of Southern Indiana MOT tuition fees cost,,2025
377,Allen College,,Iowa,MOT,,url_found,3,high,https://www.allencollege.edu/future-students/tuition-financial-aid/cost-of-attendance,https://www.allencollege.edu/future-students/tuition-financial-aid/tuition-fees,Allen College Master of Occupational Therapy tuition cost of attendance,,
375,Drake University,,Iowa,OTD,,url_found,3,medium,https://phhp.ufl.edu/academics/phd-and-professional-programs/occupational-therapy-doctorate/tuition-and-scholarship/otd-estimated-cost-of-attendance/,https://www.uws.edu/2025-2026-tuition-and-cost-of-attendance-details-doctor-of-occupational-therapy/,Drake University Doctor of Occupational Therapy tuition cost of attendance,,
376,St. Ambrose University,,Iowa,OTD,,url_found,3,medium,https://sau.edu/media/content-assets/pdfs/tuition-and-aid/federal-and-state-financial-aid/24-25-financial-aid-docs/25-26-Cost-of-Attendance.pdf,https://sau.edu/media/content-assets/pdfs/tuition-and-aid/SAU-Cost-of-Attendance-2024-2025.pdf,St. Ambrose University OTD tuition fees cost,,
378,University of Kansas Medical Center,,Kansas,OTD,,url_found,3,medium,https://financialaid.ku.edu/calculate-costs/tuition-and-fees,https://www.kumc.edu/academic-and-student-affairs/departments/registrars-office/tuition-and-fees/school-of-health-professions-tuition-and-fees-guide.html,University of Kansas Medical Center Doctor of Occupational Therapy tuition cost of attendance,,
379,"University of Saint Mary, Leavenworth",,Kansas,OTD,,url_found_low_confidence,3,low,https://www.umary.edu/sites/default/files/2022-01/OT-Program-Tuition-and-Fees.pdf,https://www.csm.edu/academics/occupational-therapy-doctorate-program-cost-0,"University of Saint Mary, Leavenworth Doctor of Occupational Therapy tuition cost of attendance",,2022
