school_code,school_name,city,state,degree_type,board_pass_rate_first_time_2yr,board_pass_rate_ultimate_2yr,graduates_tested,program_length_months,tuition_per_year,tuition_instate,tuition_is_oos,total_program_cost,total_program_cost_instate,cost_source_url
1103,Augusta University,,Georgia,DPT,95.8,98.59,71.0,,,,,,,https://www.augusta.edu/alliedhealth/physical-therapy/
1107,University of North Georgia,,Georgia,DPT,89.8,100.0,59.0,33.0,39705.0,,,120356.0,,https://ung.edu/physical-therapy/_uploads/files/2025-2026-financial-fact-sheet.pdf
1109,Georgia Southern University,,Georgia,DPT,95.6,98.53,68.0,36.0,10000.0,10000.0,0.0,,30000.0,https://chp.georgiasouthern.edu/rehabilitation/graduate-programs/doctor-of-physical-therapy/
1115,Mercer University,,Georgia,DPT,91.9,100.0,74.0,36.0,34974.0,,,109491.0,,https://chp.mercer.edu/wp-content/uploads/sites/66/2025/11/2025-Mercer-DPT-Student-Financial-Fact-Sheet.pdf
1118,Brenau University,,Georgia,DPT,92.4,100.0,79.0,36.0,40240.0,,0.0,139054.0,,
1119,Philadelphia College of Osteopathic Medicine,,Georgia,DPT,76.3,100.0,76.0,36.0,38738.0,,,123255.0,,https://www.pcom.edu/academics/programs-and-degrees/physical-therapy/financial-fact-sheet.html
1121,South College - Atlanta,,Georgia,DPT,,,,24.0,47900.0,,,108553.0,,https://www.south.edu/wp-content/uploads/2024/08/2023-dpt-student-financial-fact-sheet32_a11y.pdf
1202,Hawaii Pacific University,,Hawaii,DPT,69.2,,91.0,24.0,59586.0,,,145976.0,,https://www.hpu.edu/gchs/dpt/las-vegas/dpt-lv-financial-fact-sheet.pdf
1301,Idaho State University,,Idaho,DPT,88.9,100.0,90.0,32.0,40154.0,13954.0,1.0,152412.0,37210.666666666664,https://www.isu.edu/media/libraries/physical-therapy/Financial-fact-sheet-2025_2026-Final.pdf
1401,Northern Illinois University,,Illinois,DPT,75.5,96.23,53.0,36.0,44280.0,,,132840.0,,https://www.chhs.niu.edu/ahcd/_pdf/dpt-student-financial-fact-sheet.docx
1402,Northwestern University,,Illinois,DPT,86.0,98.89,178.0,30.0,56367.0,,,173837.0,,https://www.feinberg.northwestern.edu/sites/pthms/education/dpt/admissions/2025-student-financial-fact-sheet.pdf
1403,Rosalind Franklin University of Medicine and Science,,Illinois,DPT,82.8,96.63,87.0,29.0,47076.0,,,115753.0,,https://www.rosalindfranklin.edu/admission-aid/financial-services/tuition-fees/physical-therapy/
1405,University of Illinois at Chicago,,Illinois,DPT,91.2,99.12,113.0,33.0,,,,,,https://ahs.uic.edu/physical-therapy/admissions-and-programs/doctor-of-physical-therapy/
1411,Bradley University,,Illinois,DPT,89.1,98.18,55.0,36.0,27000.0,,,81000.0,,https://www.bradley.edu/academics/programs/doctor-of-physical-therapy/
1417,Midwestern University - IL,,Illinois,DPT,90.0,98.89,90.0,31.0,50975.0,,,159943.0,,https://www.midwestern.edu/documents/dpt-il-student-financial-fact-sheet
1420,Governors State University,,Illinois,DPT,62.7,94.92,59.0,32.0,,,,,,https://www.govst.edu/uploadedFiles/Academics/Colleges_and_Programs/CHHS/Departments/Physical_Therapy/RN_to_BN_Completion/2025-dpt-student-financial-fact-sheet.pdf
1429,North Central College,,Illinois,DPT,,,,28.0,35483.0,,,109035.0,,https://www.northcentralcollege.edu/sites/default/files/documents/2024-11/2024-dpt-student-financial-fact-sheet.pdf
1501,Indiana University,,Indiana,DPT,97.6,100.0,82.0,36.0,32618.0,,,119321.0,,https://shhs.indianapolis.iu.edu/admissions/financial-aid/mpas.html
1502,University of Evansville,,Indiana,DPT,93.6,100.0,93.0,36.0,41405.0,,,129864.0,,https://www.evansville.edu/majors/physicaltherapy/downloads/dpt/dpt-financial-fact-sheet-2025.pdf
1507,University of Indianapolis,,Indiana,DPT,88.8,97.75,89.0,32.0,43310.0,,,127294.0,,https://uindy.edu/health-sciences/pt/files/dpt-student-financial-fact-sheet.pdf
