State,School Code,School,First-Time Pass Rate  2023-2024,Graduates who took  the NPTE 2023-2024
TX,4406,University of Texas Medical Branch at Galveston,99.0,99
TX,4407,Army - Baylor University,98.3,58
TX,4421,University of Texas Southwestern Medical Center,95.7,69
TX,4422,Hardin-Simmons University,93.2,74
TX,4423,University of Texas at El Paso,95.5,66
TX,4430,Angelo State University,92.7,55
TX,4432,University of St Augustine for Health Sciences - Austin,74.8,317
TX,4433,Texas Woman's University,95.9,97
TX,4436,University of North Texas Health Science Center - Fort  Worth,83.2,89
TX,4441,University of St Augustine for Health Sciences -  ONLINE FLEX EXPANSION PROGRAM in Austin,75.0,88
TX,4442,University of Texas Medical Branch at Galveston -  BRIDGE PROGRAM FOR PTAS,88.2,68
TX,4444,University of the Incarnate Word,87.4,87
TX,4449,University of Mary Hardin-Baylor,89.2,65
TX,4451,Baylor University,90.8,173
TX,4452,University of St. Augustine - Dallas,73.4.,94
TX,4453,University of Texas Medical Branch at Galveston -  Hybrid Expansion Program,88.5,26
UT,4501,University of Utah,82.5,97
UT,4505,Rocky Mountain University of Health Professions,89.3,197
VA,0001,Old Dominion University,91.6,83
VA,0002,Virginia Commonwealth University,93.9,115
VA,0008,Shenandoah University,86.1,79
VA,0010,Marymount University,83.6,73
VA,0011,Hampton University,78.3,23
VA,0014,University of Lynchburg,83.7,92
VA,0015,Radford University,94.4,54
VA,0017,Shenandoah University - EXPANSION PROGRAM at  Northern Virginia Campus,100.0,36
VA,0020,Mary Baldwin University,82.5,57
VA,0021,Emory and Henry College,84.8,59
VT,4601,University of Vermont,73.5,68
WA,4801,Eastern Washington University,94.7,76
WA,4802,University of Puget Sound,85.1,67
WA,4803,University of Washington,82.6,92
WI,4996,Concordia University Wisconsin - Expansion Program,83.3,6
WI,5000,University of Wisconsin-Stevens Point,79.2,24
WI,5001,Marquette University,89.4,132
WI,5002,University of Wisconsin - Lacrosse,94.1,84
WI,5003,University of Wisconsin - Madison,98.7,78
WI,5008,Concordia University Wisconsin,93.6,47
WI,5011,Carroll University,85.8,148
WI,5013,University of Wisconsin - Milwaukee,96.0,50
WV,4902,West Virginia University,96.1,77
WV,4903,Wheeling University,79.4,34
WV,4908,Marshall University,96.8,63
