school_name,city,state,degree_type,program_url,outcomes_url,matched_program_id,match_score,match_action
American International College,Springfield,MA,Doctor of Physical Therapy,https://www.aic.edu/school-of-health-sciences/program/physical-therapy/,http://www.aic.edu/academics/hs/physical_therapy,41,1.000,url_added
Boston University,Boston,MA,Doctor of Physical Therapy,https://www.bu.edu/sargent/academics/departments-programs/physical-therapy-department/doctor-of-physical-therapy/,https://www.bu.edu/sargent/academics/departments-programs/physical-therapy-department/doctor-of-physical-therapy/accreditation,35,1.000,url_added
MCPHS University,Worcester,MA,Doctor of Physical Therapy,https://www.mcphs.edu/academics/programs/physical-therapy-dpt,https://www.mcphs.edu/academics/programs/physical-therapy-dpt/student-outcomes,42,1.000,url_added
MGH Institute of Health Professions,Boston,MA,Doctor of Physical Therapy,https://www.mghihp.edu/health-rehabilitation-sciences/departments-programs/physical-therapy/dpt,https://www.mghihp.edu/health-rehabilitation-sciences/departments-programs/physical-therapy/dpt,40,1.000,url_added
Simmons University,Boston,MA,Doctor of Physical Therapy,https://www.simmons.edu/graduate/academic-programs/graduate-and-certificate-programs/physical-therapy,https://www.simmons.edu/graduate/academic-programs/graduate-and-certificate-programs/physical-therapy,37,1.000,url_added
Springfield College,Springfield,MA,Doctor of Physical Therapy,http://springfield.edu/programs/physical-therapy-doctoral-degree,http://springfield.edu/programs/physical-therapy-doctoral-degree/outcomes,38,1.000,url_added
"Tufts University - Boston, MA",Boston,MA,Doctor of Physical Therapy,https://medicine.tufts.edu/academics/physical-therapy,https://medicine.tufts.edu/academics/physical-therapy/career-pathways-outcomes,,0.762,no_match
University of Massachusetts Lowell,Lowell,MA,Doctor of Physical Therapy,https://www.uml.edu/Health-Sciences/PT/Graduate/,https://www.uml.edu/Health-Sciences/PT/Graduate/,39,1.000,url_added
Andrews University,Berrien Springs,MI,Doctor of Physical Therapy,https://www.andrews.edu/chhs/srs/menudpt/index.html,https://www.andrews.edu/chhs/srs/pt/entry-level-chhs/,146,1.000,url_added
Central Michigan University,Mt Pleasant,MI,Doctor of Physical Therapy,https://www.cmich.edu/academics/colleges/herbert-h-grace-a-dow-college-of-health-professions/departments/department-physical-therapy,https://www.cmich.edu/academics/colleges/herbert-h-grace-a-dow-college-of-health-professions/departments/department-physical-therapy/program-outcome-statistics,151,1.000,url_added
Central Michigan University - (Expansion),Houghton,MI,Doctor of Physical Therapy,https://www.cmich.edu/academics/colleges/herbert-h-grace-a-dow-college-of-health-professions/departments/department-physical-therapy,https://www.cmich.edu/academics/colleges/herbert-h-grace-a-dow-college-of-health-professions/degrees-programs/departments/department-physical-therapy/program-outcome-statistics,151,1.000,url_added
Concordia University Ann Arbor,Ann Arbor,MI,DPT,www.cuaa.edu/academics/programs/doctor-physical-therapy,www.n/a.com,154,1.000,url_added
Grand Valley State University,Grand Rapids,MI,Doctor of Physical Therapy,https://www.gvsu.edu/pt/,https://www.gvsu.edu/pt/program-effectiveness-data-111.htm,147,1.000,url_added
University of Michigan - Flint,Flint,MI,Doctor of Physical Therapy,https://www.umflint.edu/graduateprograms/physical-therapy-entry-level-dpt,https://www.umflint.edu/graduateprograms/physical-therapy-entry-level-dpt,149,1.000,url_added
Wayne State University,Detroit,MI,Doctor of Physical Therapy,https://applebaum.wayne.edu/physical-therapy,https://applebaum.wayne.edu/physical-therapy/accreditation,150,1.000,url_added
Western Michigan University,Kalamazoo,MI,Doctor of Physical Therapy,https://wmich.edu/physicaltherapy,https://wmich.edu/physicaltherapy/dpt/outcomes,153,1.000,url_added
College of St Scholastica,Duluth,MN,Doctor of Physical Therapy,https://www.css.edu/academics/programs/doctorate/doctor-of-physical-therapy-dpt/,https://www.css.edu/academics/programs/doctorate/doctor-of-physical-therapy-dpt/,155,1.000,url_added
Concordia University-Saint Paul,Saint Paul,MN,Doctor of Physical Therapy,https://www.csp.edu/program/doctor-of-physical-therapy/,https://www.csp.edu/program/doctor-of-physical-therapy/,159,1.000,url_added
