state,program_type,school,pass_rate
North Carolina,OT Masters-Level Programs,Lenoir-Rhyne University,88
North Carolina,OT Masters-Level Programs,"Pfeiffer University, Albemarle Campus",90
North Carolina,OT Masters-Level Programs,University of North Carolina at Chapel Hill,100
North Carolina,OT Masters-Level Programs,Winston-Salem State University,93
North Carolina,OTA Level Program,Asheville-Buncombe Technical Community College,90
North Carolina,OTA Level Program,Cabarrus College of Health Sciences,95
North Carolina,OTA Level Program,Cape Fear Community College,100
North Carolina,OTA Level Program,Central Piedmont Community College,100
North Carolina,OTA Level Program,Durham Technical Community College,100
North Carolina,OTA Level Program,Pitt Community College,78
North Carolina,OTA Level Program,Rowan-Cabarrus Community College,94
North Carolina,OTA Level Program,"South College, Asheville",100
North Carolina,OTA Level Program,"Southwestern Community College, Jackson/Sylva Campus",100
North Dakota,OT Doctoral-Level Programs,"University of Mary, Bismark",100
North Dakota,OT Doctoral-Level Programs,University of North Dakota,100
North Dakota,OTA Level Program,North Dakota State College of Science,90
Ohio,OT Doctoral-Level Programs,Cleveland State University,93
Ohio,OT Doctoral-Level Programs,Kettering College,100
Ohio,OT Doctoral-Level Programs,Ohio State University,100
Ohio,OT Doctoral-Level Programs,University of Findlay,100
Ohio,OT Doctoral-Level Programs,University of Toledo,100
Ohio,OT Doctoral-Level Programs,Xavier University,100
Ohio,OT Masters-Level Programs,Muskingum University,100
Ohio,OT Masters-Level Programs,Shawnee State University,87
Ohio,OT Masters-Level Programs,University of Cincinnati,100
Ohio,OT Masters-Level Programs,University of Findlay,100
Ohio,OT Masters-Level Programs,Walsh University,94
Ohio,OT Masters-Level Programs,Wilmington College,100
Ohio,OTA Level Program,"Bryant & Stratton College, Solon Campus",75
Ohio,OTA Level Program,Cincinnati State Technical and Community College,92
Ohio,OTA Level Program,Cuyahoga Community College,86
Ohio,OTA Level Program,"EHOVE Adult Career Center, Lorain County Community College",79
Ohio,OTA Level Program,Kent State University at Ashtabula,100
Ohio,OTA Level Program,Kent State University at East Liverpool,0
Ohio,OTA Level Program,Lakeland Community College,78
Ohio,OTA Level Program,Marion Technical College,100
Ohio,OTA Level Program,Owens Community College,75
Ohio,OTA Level Program,Rhodes State College,100
Ohio,OTA Level Program,Shawnee State University,70
Ohio,OTA Level Program,Sinclair Community College,100
Ohio,OTA Level Program,Stark State College,84
Ohio,OTA Level Program,Zane State College,82
Oklahoma,OT Masters-Level Programs,"Northeastern State University, Muskogee Campus",100
Oklahoma,OT Masters-Level Programs,University of Oklahoma Health Sciences Center,97
Oklahoma,OTA Level Program,"Caddo-Kiowa Technology Center, Southwestern Oklahoma State University",70
Oklahoma,OTA Level Program,Indian Capital Technology Center/Connors State College,90
Oklahoma,OTA Level Program,Murray State College,90
Oklahoma,OTA Level Program,Oklahoma City Community College,92
Oklahoma,OTA Level Program,"Tulsa Community College, Metro Campus",92
Oregon,OT Doctoral-Level Programs,Pacific University,100
Oregon,OTA Level Program,"Linn-Benton Community College, Healthcare Occupations Center",100
Pennsylvania,OT Doctoral-Level Programs,Cedar Crest College,100
Pennsylvania,OT Doctoral-Level Programs,Chatham University,94
Pennsylvania,OT Doctoral-Level Programs,Duquesne University,100
Pennsylvania,OT Doctoral-Level Programs,Elizabethtown College,100
Pennsylvania,OT Doctoral-Level Programs,Slippery Rock University,92
Pennsylvania,OT Doctoral-Level Programs,St. Joseph's University,100
Pennsylvania,OT Doctoral-Level Programs,Thomas Jefferson University-Center City Campus,100
Pennsylvania,OT Doctoral-Level Programs,University of Pittsburgh,98
Pennsylvania,OT Doctoral-Level Programs,Widener University,95
Pennsylvania,OT Masters-Level Programs,Alvernia University,84
Pennsylvania,OT Masters-Level Programs,Carlow University,100
Pennsylvania,OT Masters-Level Programs,Duquesne University,100
Pennsylvania,OT Masters-Level Programs,Elizabethtown College,91
Pennsylvania,OT Masters-Level Programs,Gannon University,87
Pennsylvania,OT Masters-Level Programs,Gwynedd Mercy University,90
Pennsylvania,OT Masters-Level Programs,Messiah University,100
Pennsylvania,OT Masters-Level Programs,Misericordia University,90
Pennsylvania,OT Masters-Level Programs,Moravian University,100
Pennsylvania,OT Masters-Level Programs,Salus University,92
Pennsylvania,OT Masters-Level Programs,St. Francis University,100
Pennsylvania,OT Masters-Level Programs,St. Joseph's University,86
Pennsylvania,OT Masters-Level Programs,Temple University,67
Pennsylvania,OT Masters-Level Programs,Thomas Jefferson University-Center City Campus,97
Pennsylvania,OT Masters-Level Programs,Thomas Jefferson University-East Falls Campus,97
Pennsylvania,OT Masters-Level Programs,University of Scranton,100
Pennsylvania,OTA Level Program,Central Penn College,100
Pennsylvania,OTA Level Program,"Community College of Allegheny County, Boyce",95
Pennsylvania,OTA Level Program,Harcum College,75
Pennsylvania,OTA Level Program,Lackawanna College,75
Pennsylvania,OTA Level Program,"Pennsylvania State University, Berks",80
Pennsylvania,OTA Level Program,"Pennsylvania State University, DuBois",100
Pennsylvania,OTA Level Program,"Pennsylvania State University, Mont Alto",86
Pennsylvania,OTA Level Program,"Pennsylvania State University, Shenango",78
Pennsylvania,OTA Level Program,Thomas Jefferson University,92
Puerto Rico,OT Masters-Level Programs,"University of Puerto Rico, Medical Sciences Center",17
Puerto Rico,OTA Level Program,Huertas College,0
Rhode Island,OT Doctoral-Level Programs,"Johnson & Wales University, Providence",95
Rhode Island,OT Masters-Level Programs,New England Institute of Technology,72
Rhode Island,OTA Level Program,Community College of Rhode Island,80
Rhode Island,OTA Level Program,New England Institute of Technology,100
South Carolina,OT Doctoral-Level Programs,Medical University of South Carolina,100
South Carolina,OT Doctoral-Level Programs,Presbyterian College,95
South Carolina,OTA Level Program,"Greenville Technical College, Benson Campus",100
South Carolina,OTA Level Program,"Horry-Georgetown Technical College, Grand Strand Campus",92
South Carolina,OTA Level Program,"Piedmont Technical College, Newberry Campus",88
South Carolina,OTA Level Program,"South University, Columbia",25
South Carolina,OTA Level Program,"Southeastern College, Charleston Campus",100
South Carolina,OTA Level Program,Trident Technical College,100
South Dakota,OT Doctoral-Level Programs,University of South Dakota,100
South Dakota,OTA Level Program,Lake Area Technical College,88
Tennessee,OT Doctoral-Level Programs,Belmont University,100
Tennessee,OT Doctoral-Level Programs,Lincoln Memorial University,100
Tennessee,OT Doctoral-Level Programs,University of Tennessee at Chattanooga,100
Tennessee,OT Masters-Level Programs,Belmont University,100
Tennessee,OT Masters-Level Programs,Milligan University,100
Tennessee,OT Masters-Level Programs,Tennessee State University,79
Tennessee,OT Masters-Level Programs,Tennessee Wesleyan University - Downtown Knoxville Site,93
Tennessee,OT Masters-Level Programs,University of Tennessee Health Science Center,97
Tennessee,OTA Level Program,"Concorde Career College, Memphis",57
Tennessee,OTA Level Program,Jackson State Community College,80
Tennessee,OTA Level Program,Nashville State Community College,88
Tennessee,OTA Level Program,Roane State Community College,92
Tennessee,OTA Level Program,"South College, Knoxville",63
Tennessee,OTA Level Program,"South College, Nashville",86
Tennessee,OTA Level Program,Walters State Community College,90
Texas,OT Doctoral-Level Programs,Abilene Christian University,86
Texas,OT Doctoral-Level Programs,Baylor University,92
Texas,OT Doctoral-Level Programs,Texas Tech University Health Sciences Center,100
Texas,OT Doctoral-Level Programs,Texas Woman's University,98
Texas,OT Doctoral-Level Programs,U.S. Army Medical Center of Excellence/Baylor University,100
Texas,OT Doctoral-Level Programs,"University of St. Augustine for Health Sciences, Austin Campus",81
Texas,OT Doctoral-Level Programs,"University of St. Augustine for Health Sciences, Dallas Campus",80
Texas,OT Doctoral-Level Programs,University of Texas Health Science Center at San Antonio,98
Texas,OT Doctoral-Level Programs,University of Texas Medical Branch,98
Texas,OT Masters-Level Programs,Abilene Christian University,83
Texas,OT Masters-Level Programs,University of Mary Hardin-Baylor,80
Texas,OT Masters-Level Programs,"University of St. Augustine for Health Sciences, Austin Campus",92
Texas,OT Masters-Level Programs,University of Texas at El Paso,82
Texas,OT Masters-Level Programs,University of Texas at Tyler,100
Texas,OTA Level Program,Amarillo College,82
